#separator:tab
#html:false
你好！	你好！   MDBG    Nǐ hǎo!     English Hello / how are you
Hello / how are you	Hello / how are you   你好！  MDBG    Nǐ hǎo!
晚上好。	晚上好。   MDBG    wǎnshang hǎo.     English Good evening.
Good evening.	Good evening.   晚上好。  MDBG    wǎnshang hǎo.
喂，你好。	喂，你好。   MDBG    Wèi, nǐ hǎo.     English Hey, hello! (answering the phone)
Hey, hello! (answering the phone)	Hey, hello! (answering the phone)   喂，你好。  MDBG    Wèi, nǐ hǎo.
你说什么？	你说什么？   MDBG    Nǐ shuō shénme?     English What are you saying?
What are you saying?	What are you saying?   你说什么？  MDBG    Nǐ shuō shénme?
他们在说什么？	他们在说什么？   MDBG    Tāmen zài shuō shénme?     English What are they talking about?
What are they talking about?	What are they talking about?   他们在说什么？  MDBG    Tāmen zài shuō shénme?
你做了什么？	你做了什么？   MDBG    nǐ zuò le shénme? (add 了 = something changed or happened)     English What did you do?
What did you do?	What did you do?   你做了什么？  MDBG    nǐ zuò le shénme? (add 了 = something changed or happened)
你做对了。	你做对了。   MDBG    Nǐ zuò duì le. (verb+result grammar: zuo+dui)     English You've done it right.
You've done it right.	You've done it right.   你做对了。  MDBG    Nǐ zuò duì le. (verb+result grammar: zuo+dui)
他们会做。	他们会做。   MDBG    Tāmen huì zuò.     English They know how to do it.
They know how to do it.	They know how to do it.   他们会做。  MDBG    Tāmen huì zuò.
我会做。	我会做。   MDBG    Wǒ huì zuò.     English I know how to do it.
I know how to do it.	I know how to do it.   我会做。  MDBG    Wǒ huì zuò.
你想我了？	你想我了？   MDBG    nǐ xiǎng wǒ le? (Like a statement. Add 吗 = more like a question)     English You missed me?
You missed me?	You missed me?   你想我了？  MDBG    nǐ xiǎng wǒ le? (Like a statement. Add 吗 = more like a question)
你想要什么？	"你想要什么？   MDBG    nǐ xiǎng yào shénme?     English What do you want? (literally, ""think need what?"")"
"What do you want? (literally, ""think need what?"")"	"What do you want? (literally, ""think need what?"")   你想要什么？  MDBG    nǐ xiǎng yào shénme?"
你会做吗？	你会做吗？   MDBG    Nǐ huì zuò ma?     English Do you know how to do it?
Do you know how to do it?	Do you know how to do it?   你会做吗？  MDBG    Nǐ huì zuò ma?
你做什么工作？	你做什么工作？   MDBG    Nǐ zuò shénme gōngzuò?     English What do you do for work?
What do you do for work?	What do you do for work?   你做什么工作？  MDBG    Nǐ zuò shénme gōngzuò?
她做什么工作？	她做什么工作？   MDBG    Tā zuò shénme gōngzuò?     English What does she do for work?
What does she do for work?	What does she do for work?   她做什么工作？  MDBG    Tā zuò shénme gōngzuò?
你在哪里工作？	你在哪里工作？   MDBG    Nǐ zài nǎli gōngzuò?     English Where do you work?
Where do you work?	Where do you work?   你在哪里工作？  MDBG    Nǐ zài nǎli gōngzuò?
你去哪里？	你去哪里？   MDBG    Nǐ qù nǎli?     English Where are you going?
Where are you going?	Where are you going?   你去哪里？  MDBG    Nǐ qù nǎli?
你想去哪里？	你想去哪里？   MDBG    Nǐ xiǎng qù nǎli?     English Where would you like to go?
Where would you like to go?	Where would you like to go?   你想去哪里？  MDBG    Nǐ xiǎng qù nǎli?
你是哪里人？	你是哪里人？   MDBG    Nǐ shì nǎli rén?     English Where are you from?
Where are you from?	Where are you from?   你是哪里人？  MDBG    Nǐ shì nǎli rén?
她是哪里的人？	她是哪里的人？   MDBG    Tā shì nǎli de rén?     English Where is she from?
Where is she from?	Where is she from?   她是哪里的人？  MDBG    Tā shì nǎli de rén?
你想去哪里吃？	你想去哪里吃？   MDBG    Nǐ xiǎng qù nǎli chī?     English Where would you like to go to eat?
Where would you like to go to eat?	Where would you like to go to eat?   你想去哪里吃？  MDBG    Nǐ xiǎng qù nǎli chī?
我想吃饭。	我想吃饭。   MDBG    Wǒ xiǎng chī fàn.     English I would like to eat food.
I would like to eat food.	I would like to eat food.   我想吃饭。  MDBG    Wǒ xiǎng chī fàn.
她想吃饭吗？	她想吃饭吗？   MDBG    Tā xiǎng chī fàn ma?     English Does she want to eat?
Does she want to eat?	Does she want to eat?   她想吃饭吗？  MDBG    Tā xiǎng chī fàn ma?
怎么了？	"怎么了？   MDBG    zěnme le?     English What's the matter? (literally ""how happened?"")"
"What's the matter? (literally ""how happened?"")"	"What's the matter? (literally ""how happened?"")   怎么了？  MDBG    zěnme le?"
听他说。	听他说。   MDBG    Tīng tā shuō.     English Listen to him.
Listen to him.	Listen to him.   听他说。  MDBG    Tīng tā shuō.
你在听我说吗？	你在听我说吗？   MDBG    nǐ zài tīng wǒ shuō ma?     English Are you listening to me?
Are you listening to me?	Are you listening to me?   你在听我说吗？  MDBG    nǐ zài tīng wǒ shuō ma?
最近怎么样啊？	最近怎么样啊？   MDBG    Zuìjìn zěnmeyàng a?     English How are you lately?
How are you lately?	How are you lately?   最近怎么样啊？  MDBG    Zuìjìn zěnmeyàng a?
最近好吗？	最近好吗？   MDBG    Zuìjìn hǎo ma?     English You've been good lately?
You've been good lately?	You've been good lately?   最近好吗？  MDBG    Zuìjìn hǎo ma?
你觉得怎么样？	你觉得怎么样？   MDBG    Nǐ juéde zěnmeyàng?     English How do you feel?
How do you feel?	How do you feel?   你觉得怎么样？  MDBG    Nǐ juéde zěnmeyàng?
我觉得你的工作可以。	我觉得你的工作可以。   MDBG    wǒ juéde nǐ de gōngzuò kěyǐ.     English I think your work is ok.
I think your work is ok.	I think your work is ok.   我觉得你的工作可以。  MDBG    wǒ juéde nǐ de gōngzuò kěyǐ.
我想看看。	我想看看。   MDBG    wǒ xiǎng kànkan.     English I want to take a look.
I want to take a look.	I want to take a look.   我想看看。  MDBG    wǒ xiǎng kànkan.
给我看。	给我看。   MDBG    Gěi wǒ kàn.     English Give me a look.
Give me a look.	Give me a look.   给我看。  MDBG    Gěi wǒ kàn.
他不会做。	他不会做。   MDBG    Tā bù huì zuò.     English He can't do it.
He can't do it.	He can't do it.   他不会做。  MDBG    Tā bù huì zuò.
学生不听我说。	学生不听我说。   MDBG    Xuésheng bù tīng wǒ shuō.     English The students don't listen to me.
The students don't listen to me.	The students don't listen to me.   学生不听我说。  MDBG    Xuésheng bù tīng wǒ shuō.
我爱你。	我爱你。   MDBG    Wǒ ài nǐ.     English I love you.
I love you.	I love you.   我爱你。  MDBG    Wǒ ài nǐ.
他不喜欢他的工作。	他不喜欢他的工作。   MDBG    Tā bù xǐhuan tā de gōngzuò.     English He does not like his work.
He does not like his work.	He does not like his work.   他不喜欢他的工作。  MDBG    Tā bù xǐhuan tā de gōngzuò.
你喜欢你的工作吗？	你喜欢你的工作吗？   MDBG    Nǐ xǐhuan nǐ de gōngzuò ma?     English Do you like your work?
Do you like your work?	Do you like your work?   你喜欢你的工作吗？  MDBG    Nǐ xǐhuan nǐ de gōngzuò ma?
我喜欢中国。	我喜欢中国。   MDBG    Wǒ xǐhuan Zhōngguó.     English I like China.
I like China.	I like China.   我喜欢中国。  MDBG    Wǒ xǐhuan Zhōngguó.
中国大吗？	中国大吗？   MDBG    Zhōngguó dà ma?     English Is China big?
Is China big?	Is China big?   中国大吗？  MDBG    Zhōngguó dà ma?
